ID,Area,Feature,User Story,Expected Behavior,Code Ref,Status,Test Result,Errors Found,Fixed
S01,Social,Daily hole (shared one-a-day),"As a player, I want one shared hole everyone plays each day so that I compete on the same challenge","enterDaily fetches the owner-published hole for todays UTC key, falling back to a deterministic weird hole",enterDaily ~3471,Documented,,,
S02,Social,Daily number/index,"As a player, I want a sequential daily number so that I can track which days hole Im playing","dailyNumFor computes days since DAILY_EPOCH; same date maps to same hole for all via UTC todayKey",dailyNumFor ~3369,Documented,,,
S03,Social,Easy URL ?daily entry,"As a player, I want a simple link to jump straight into todays hole so that shared links open the daily","boot parses ?daily (or ?daily=N) and ?team / #g ghost hash then calls enterDaily",boot URL ~4153,Documented,,,
S04,Social,One-shot-per-day lock,"As a player, I want my first play of the day to be the one that counts so that the daily feels fair","markDailyDone stores best of day; alreadyPlayedToday flags replays as practice",markDailyDone ~3435,Documented,,,
S05,Social,Practice mode after playing,"As a player, I want to keep hitting after my counted run so that I can practice without affecting score","replaying today sets dailyPractice; PRACTICE banner, no posting, PRACTICE THIS HOLE button",dailyFinish ~3886,Documented,,,
S06,Social,Revisit shows stored result,"As a player, I want to see my result card again on return without replaying so that I can review/reshare","reviewStoredDaily rebuilds rec from stored ghost and re-shows the daily card",reviewStoredDaily ~3443,Documented,,,
S07,Social,Archive / play past holes,"As a player, I want to play holes from past days so that a skipped day isnt lost","enterPastDaily loads a prior days hole (up to ~14 days back); never posts/counts; OLDER HOLE steps back",enterPastDaily ~3487,Documented,,,
S08,Social,Ghost racing (real rival),"As a player, I want to race a real players recorded run so that the daily feels alive and competitive","afterDailyLoaded fetches 3 ghosts, picks best non-self, plays a translucent rival ball alongside me",afterDailyLoaded ~3531,Documented,,,
S09,Social,Ghost replay rendering,"As a player, I want to see the ghost ball move along its path so that I can watch how a rival played","syncGhost interpolates the ghost path at 20fps as a translucent blue sphere",syncGhost ~3393,Documented,,,
S10,Social,Head-to-head result,"As a player, I want to see if I beat the ghost I raced so that I get a clear win/tie/loss outcome","daily card shows You beat X / Dead heat / X won plus your strokes vs theirs",showDailyCard ~3687,Documented,,,
S11,Social,Challenge link w/ ghost,"As a player, I want to send a link that makes friends race my exact run so that I can challenge them","COPY CHALLENGE LINK copies link + #g=ghost&n=name&s=strokes; boot decodes into a named challenger",shareStrings ~3591,Documented,,,
S12,Social,Watch the days best run,"As a player, I want to watch how the days leader sank it so that I can learn the line","leaderGhost stored from best ghost; WATCH X RUN replays it then re-shows the card",wl button ~3880,Documented,,,
S13,Social,Watch your own replay,"As a player, I want to replay my own run so that I can relive and study my shot","WATCH REPLAY plays capReplay(rec.path) as a ghost, then re-shows the card",rep button ~3875,Documented,,,
S14,Social,Todays live leaderboard,"As a player, I want to see todays top scores so that I know where I rank","leaderboard RPC returns best run per player; card renders ranked rows with your row highlighted + scrolled",renderLB ~3726,Documented,,,
S15,Social,Post a score (name entry),"As a player, I want to post my score under my name so that I appear on the leaderboard","doPost calls submitDailyRun; auto-posts every real finish; name input lets you set/change handle and re-post",doPost ~3753,Documented,,,
S16,Social,Auto-name everyone on board,"As a player, I want to be on the leaderboard even without entering a name so that Im never excluded","firstTime anon players get auto Gunslinger### handle they can change and re-post",showDailyCard ~3713,Documented,,,
S17,Social,Anti-cheat submit_run,"As a player, I want scores validated so that the leaderboard is trustworthy","submit_run RPC validates the ghost decodes and its shot-count equals strokes; trims/rejects blank names",net.submitRun net.js:31,Documented,,,
S18,Social,Daily standing/rank,"As a player, I want to see my rank out of todays field so that I know my standing","net.standing returns rank/total; card shows Youre #R of N today or LEADING / first-to-finish",renderLB ~3728,Documented,,,
S19,Social,Course records,"As a player, I want to chase the all-time best score on a hole layout so that theres a record to break","courseRecord RPC returns best+name; card celebrates first-conquer / NEW RECORD / TIED / shows record",net.courseRecord net.js:61,Documented,,,
S20,Social,Daily play streak,"As a player, I want my consecutive-day plays tracked so that Im motivated to return daily","streakUpdate increments count when last play was yesterday, resets otherwise; stored pg_streak",streakUpdate ~3417,Documented,,,
S21,Social,Streak-on-the-line nudge,"As a player, I want a reminder my streak is at risk before I play so that I dont lose it","chooser daily card shows Your N-day streak is on the line when last play was yesterday",chooseSet ~2202,Documented,,,
S22,Social,Streak reminder on exit,"As a player, I want a reminder to keep my streak as I leave so that I come back tomorrow","finish card countdown reads Keep your N-day streak when a streak is live",paintCd ~3902,Documented,,,
S23,Social,Create a team,"As a player, I want to create a posse so that I can compete team-vs-team","createTeam RPC returns name+invite code; creator auto-joins; team stored in localStorage pg_team",net.createTeam net.js:55,Documented,,,
S24,Social,Join team by invite code,"As a player, I want to join a team with a code so that I can play for a crew","joinTeam RPC by code; JOIN button or one-tap ?team=CODE link consumed once Im named",joinPendingTeam ~3410,Documented,,,
S25,Social,One-tap team invite link,"As a player, I want to send a link that joins friends to my team so that recruiting is frictionless","Invite button copies Join my posse message with ?team=CODE appended to the daily link",cpy.onclick ~3776,Documented,,,
S26,Social,Team leaderboard/standing,"As a player, I want to see how my team ranks today so that team competition is visible","teamStanding RPC aggregates members best per day; card renders ranked teams, own team highlighted",net.teamStanding net.js:57,Documented,,,
S27,Social,Team record + team streak,"As a player, I want my teams all-time best and streak shown so that theres lasting team pride","teamRecord RPC returns best/days/streak; card shows Team record: N and K-day team streak when current",net.teamRecord net.js:59,Documented,,,
S28,Social,Champions ladder - players,"As a player, I want a persistent ladder of daily winners so that theres a long-term reason to play","champions RPC ranks players by daily wins then avg; modal lists rank/wins/dailies/avg, own row highlighted",showChampions ~4081,Documented,,,
S29,Social,Champions ladder - teams,"As a player, I want a team champions ladder so that crews compete over time","teamChampions RPC ranks teams by daily wins; TEAMS tab shows wins/days/best",net.teamChampions net.js:65,Documented,,,
S30,Social,Champions weekly vs all-time,"As a player, I want a weekly ladder so that newcomers can compete on a fresh slate","THIS WEEK (days=7) / ALL-TIME (days=null) toggle re-queries champions/teamChampions",showChampions ~4064,Documented,,,
S31,Social,Share my champions rank,"As a player, I want to brag my ladder standing so that I can pull rivals in","SHARE MY RANK appears when on the board; shares #R this week - N wins! Climb past me + daily link",shareRank ~4095,Documented,,,
S32,Social,Pass & play Team Ball,"As a player, I want to take turns hitting the same ball with friends so that we play as a team on one device","enterTeamBall rotates 2-4 players hitting one ball; turn badge shows whose turn; finish breaks down who hit what",enterTeamBall ~3927,Documented,,,
S33,Social,Pass & play Best Ball,"As a player, I want each partner to play the hole solo with the lowest score winning so that we have a 2nd mode","enterBestBall hands the same hole tee-fresh to each player; finish crowns the best and lists everyones score",enterBestBall ~3971,Documented,,,
S34,Social,Pass & play setup + toggle,"As a player, I want to pick the mode and enter player names so that I can start a local round","showTeamBallSetup overlay toggles Team Ball/Best Ball and takes comma names (2-4) before START",showTeamBallSetup ~4024,Documented,,,
S35,Social,Share pass & play result,"As a player, I want to share our local game result so that off-device friends are funneled in","finish cards SHARE RESULT uses shareLocalResult with a team-result string + ?daily link",shareLocalResult ~3939,Documented,,,
S36,Social,Native share (with GIF),"As a player, I want a one-tap OS share sheet so that I can post anywhere easily","SHARE MY SHOT (GIF) uses navigator.share, attaching the highlight GIF file when canShare supports it",nsb.onclick ~3829,Documented,,,
S37,Social,Share on X,"As a player, I want to tweet my result so that I can post to X in one click","SHARE ON X opens twitter.com/intent/tweet with the encoded result text",xb.onclick ~3843,Documented,,,
S38,Social,Copy for Discord,"As a player, I want to copy my result text so that I can paste it into Discord","COPY FOR DISCORD copies the share string to clipboard",dc.onclick ~3845,Documented,,,
S39,Social,Highlight GIF of best shot,"As a player, I want an animated GIF of my best shot so that I have a shareable clip","makeHighlightGif renders highlightSubPath (longest-arc shot) to a GIF; SAVE GIF / SHARE GIF buttons",makeHighlightGif ~3633,Documented,,,
S40,Social,Rich share text,"As a player, I want my share text to carry brags so that posts are enticing","shareStrings builds verdict, score bar, beat/tied-ghost line, streak, rank, course-record, difficulty, CTA, link",shareStrings ~3572,Documented,,,
S41,Social,Varied share CTA,"As a player, I want my challenge CTA to vary so that shared posts look organic not templated","dailyCTA picks a CTA stable per player+day from an 8-string pool via nameHash",dailyCTA ~3563,Documented,,,
S42,Social,Daily social proof (chooser),"As a player, I want to see how many played today before committing so that the daily feels alive","chooser daily card calls daySummary then N played today - best M or Be the first to play today",chooseSet ~2200,Documented,,,
S43,Social,Social-proof toast on entry,"As a player, I want an at-a-glance field summary so that the daily feels social from the start","afterDailyLoaded socialToast combines challenger/racing line + N today - best M or Be the first",afterDailyLoaded ~3541,Documented,,,
S44,Social,Shared difficulty read,"As a player, I want to know if todays hole is brutal or easy for the field so that I gauge my result","difficultyLine (>=3 players) labels Brutal/Tough/Fair/Easy from avg_over; injected into share on extremes",difficultyLine ~3566,Documented,,,
S45,Social,Day summary metrics,"As a player, I want field stats (players, best, avg over par) so that social proof/difficulty are accurate","daySummary RPC returns players,best,avg_over powering chooser proof, toasts, difficulty, share extremes",net.daySummary net.js:53,Documented,,,
S46,Social,Lifetime career stats,"As a player, I want my cumulative dailies, avg vs par, ghost-beats and aces so that I see progression","statsUpdate accumulates per-day in pg_stats; card shows N dailies - avg X vs par - beat ghost K - A aces",statsUpdate ~3427,Documented,,,
S47,Social,Owner engagement metrics,"As an owner, I want player/play counts so that I can gauge the games pulse","engagement RPC returns players_today, plays_today, players_7d, plays_7d, teams_total for Daily Studio",net.engagement net.js:67,Documented,,,
S48,Social,New-player how-to + name,"As a player from a shared link, I want a quick how-to and name prompt so that I can play and post immediately","showHowTo coachmark (once) prompts name for unnamed players before PLAY TODAYS HOLE",showHowTo ~3504,Documented,,,
U01,UI,Choose Your Nine lobby,"As a player, I want a single launch screen listing every way to play so that I can pick a run without hunting","chooseSet renders a blurred-backdrop overlay CHOOSE YOUR NINE with daily card, Pass & Play, four set cards, footer links",chooseSet ~2191,Documented,,,
U02,UI,Nine-set cards,"As a player, I want themed 9-hole runs so that I can choose a difficulty/flavor of campaign","SETS render FRONT 9, MIDDLE 9, BACK 9, WILD 9 with subtitles + PLAY; click loads set.base",SETS ~2190,Documented,,,
U03,UI,Islands/Wild free-form holes,"As a player, I want crazy multi-tier free-form greens so that the Wild run feels distinct","WILD 9 = ISLANDS9 organic ribbon/blob fairways floating over sea; crazy multi-tier free-form greens subtitle",ISLANDS9 ~640,Documented,,,
U04,UI,Archive (past holes) link,"As a player, I want to play holes I missed so that a skipped day isnt lost","Missed a day? Play past holes link calls enterPastDaily(1); past runs are practice-only",chooseSet ~2212,Documented,,,
U05,UI,Champions ladder link,"As a player, I want a path to the all-time ladder so that I can see who is winning","All-time champions link opens showChampions modal",chooseSet ~2213,Documented,,,
U06,UI,Owner Studio link,"As an owner, I want a way to reach the daily-hole editor so that I can set and edit dailies","Owner Studio link navigates to owner.html (passcode-gated)",chooseSet ~2214,Documented,,,
U07,UI,Pass & Play entry,"As friends on one device, I want a local multiplayer entry so that we can play Team Ball or Best Ball","PASS & PLAY card opens showTeamBallSetup with a Team Ball / Best Ball toggle",chooseSet ~2216,Documented,,,
U08,UI,HUD hole/par header,"As a player, I want the hole number and par on screen so that I know what Im playing","drawHUD shows HOLE n/9 - PAR p + hole name top-left, no boxes",drawHUD ~2473,Documented,,,
U09,UI,HUD stroke + best counter,"As a player, I want my current strokes and personal best visible so that I can track my run","Shows big stroke count with STROKE label and BEST n under it when a best exists",drawHUD ~2477,Documented,,,
U10,UI,To-pin yardage,"As a player, I want distance to the cup so that I can gauge power","Top-right TO PIN + n YD computed live from ball-to-cup distance",drawHUD ~2480,Documented,,,
U11,UI,Thru/total score readout,"As a player, I want my running total vs par so that I know my standing through a nine","On wide screens shows THRU k - total (+/-/E) centered at top once past hole 1",drawHUD ~2483,Documented,,,
U12,UI,Coins & points display,"As a player, I want my collected coins/points shown so that loot feels rewarding","When coins or points >0, draws coins points top-left with a pulse on pickup",drawHUD ~2485,Documented,,,
U13,UI,Power-up badges,"As a player, I want active power-ups shown so that I know magnet/slow-mo/shield are live and timers","Center badges MAGNET t.s / SLOW-MO t.s / SHIELD in distinct colors while active",drawHUD ~2487,Documented,,,
U14,UI,Bumper combo meter,"As a player, I want a live combo multiplier so that racking up bumper hits feels exciting","While rolling with combo>=2 shows pulsing COMBO xn (red at >=5) at mid-screen",drawHUD ~2493,Documented,,,
U15,UI,Power meter,"As a player, I want a charge gauge while aiming so that I can dial in shot strength","powerMeter draws a green-gold-red wedge with tick marks + POWER n% label during aim",powerMeter ~2561,Documented,,,
U16,UI,Aim trajectory guide,"As a player, I want a predicted path so that I can line up bank shots before firing","drawAim shows simulated path, green-gold-red dots, arrowhead, and a slingshot pull line",drawAim ~2541,Documented,,,
U17,UI,Hole-intro banner,"As a player, I want a flashed hole title so that each holes start feels announced","St.banner draws big centered Wantedo text that auto-fits and fades",drawHUD ~2496,Documented,,,
U18,UI,Context instruction line,"As a player, I want on-screen control hints so that I know how to aim or flip","Bottom-center PULL BACK - RELEASE TO FIRE or TAP L/R FOR FLIPPERS, auto-fit to width",drawHUD ~2498,Documented,,,
U19,UI,Shot trail + FX pops,"As a player, I want sparks, shockwaves and floating point pops so that hits feel juicy","drawHUD projects ball trail, spark particles, ground shockwave rings, 3D score pop-ups",drawHUD ~2465,Documented,,,
U20,UI,Magnet tractor beam,"As a player, I want a visible pull toward the cup so that the magnet power-up reads in-world","drawMagnetPull streams dashed pink line + pulsing ring from ball to cup while magnet active",drawMagnetPull ~2527,Documented,,,
U21,UI,Lighting LOOK picker,"As a player, I want a mood picker so that I can restyle the whole game look instantly","FX button bottom-right opens showLookPicker frosted modal listing Auto + 14 looks; pick applies + persists",showLookPicker ~4396,Documented,,,
U22,UI,Daylight look,"As a player, I want a bright noon look so that I get a clean default daytime style","daytime mood: blazing key, low ambient, hard dark shadows, light split-tone, low grain",MOODS.daytime ~683,Documented,,,
U23,UI,Sunset look,"As a player, I want a golden-hour look so that the scene feels warm and dramatic","sunset mood: warm-gold key + hard shadows, cool-blue fill, warm hemi gradient, reflective ball, bokeh overlay",MOODS.sunset ~684,Documented,,,
U24,UI,Moody Night look,"As a player, I want a dark night look so that holes feel atmospheric","night mood: low exposure, blue key, deep blue gradient-map shadows, ball-tracking spotlight, heavy vignette",MOODS.night ~685,Documented,,,
U25,UI,Film Noir look,"As a player, I want black-and-white high-contrast so that I get a classic noir feel","noir mood: sat 0 (B&W), very high contrast, hard white key, grain, strong vignette; HUD desaturates too",MOODS.noir ~686,Documented,,,
U26,UI,Dusty Faded look,"As a player, I want a sun-baked washed look so that it feels like aged western footage","faded mood: warm sepia gradient-map, hazy amber fog, airborne dust motes, heavy grain, soft shadows",MOODS.faded ~687,Documented,,,
U27,UI,Red Glow look,"As a player, I want a hellish red wash so that I get an intense danger mood","redglow mood: red-orange key, dark red ambient, red gradient-map ramp, strong CA + vignette",MOODS.redglow ~688,Documented,,,
U28,UI,Sin City look,"As a player, I want near-mono ultra-contrast so that I get a stylized graphic-novel look","sincity mood: sat 0.07, extreme contrast, white key, heavy grain + vignette",MOODS.sincity ~689,Documented,,,
U29,UI,Prismatic look,"As a player, I want orbiting colored lights so that the table glows with mixing neon pools","prismatic mood: dark base + real orbiting point lights casting magenta/cyan/amber pools, heavy CA",MOODS.prismatic ~691,Documented,,,
U30,UI,Vaporwave look,"As a player, I want oversaturated purple/pink neon so that I get a retro VHS aesthetic","vaporwave mood: black-purple-pink gradient-map, pink/purple orbiting lights, scanlines, CA, VHS particle overlay",MOODS.vaporwave ~690,Documented,,,
U31,UI,Cartoon look,"As a player, I want flat cel paint with ink lines so that the world looks hand-drawn (xerox Disney)","cartoon mood: 2-band MeshToon flat colors + black outline edges + grain/scratch, warm sepia",MOODS.cartoon ~692,Documented,,,
U32,UI,Cel Shaded look,"As a player, I want smooth anime cel shading so that colors stay rich and toon-banded","cel mood: 4-band MeshToon flat colors, richer saturation, low exposure, more CA",MOODS.cel ~693,Documented,,,
U33,UI,Tron look,"As a player, I want glowing neon edges so that the world reads as real luminous geometry","tron mood: near-black surfaces + glowing cyan EdgesGeometry feature lines (bloom), cyan rim, high contrast",MOODS.tron ~694,Documented,,,
U34,UI,Line Art look,"As a player, I want an ink-on-paper look so that the scene reads as a hand-inked drawing","line mood: muted paper-grey basic material + Sobel feature edges + silhouette outline, sat 0",MOODS.line ~695,Documented,,,
U35,UI,Wireframe look,"As a player, I want a wireframe render so that I see the structure as glowing edges","wireframe mood: surfaces hidden, cyan EdgesGeometry LineSegments, black fog",MOODS.wireframe ~696,Documented,,,
U36,UI,Auto look,"As a player, I want a per-hole default mood so that themed holes keep their intended style","Auto resolves to the holes own mood or falls back to sunset; resolveMood reads pg_mood/hole.mood",resolveMood ~701,Documented,,,
U37,UI,Bloom + film composite,"As a player, I want lights to glow with a cinematic grade so that the game looks AAA","initPost pipeline: bright-pass gaussian bloom + CA, grain, vignette, tilt-shift DOF, halation, split-tone grade",initPost ~1143,Documented,,,
U38,UI,Chromatic aberration,"As a player, I want lens color-fringing so that looks feel filmic/glitchy per mood","Post shader offsets RGB by uCA scaled by radius^2; per-mood ca value (heavy in prismatic/vaporwave)",initPost ~1165,Documented,,,
U39,UI,Vignette + grain,"As a player, I want edge darkening and film grain so that frames feel like real footage","Shader applies uVig radial darkening + luminance-weighted uGrain per mood",initPost ~1206,Documented,,,
U40,UI,1-LSB debanding dither,"As a player, I want smooth gradients so that flat-fill looks dont show 8-bit banding","Always-on per-pixel hash dither of +/-1/255 even when grain=0 (cartoon/cel/line)",initPost ~1208,Documented,,,
U41,UI,SSAO grounding,"As a player, I want contact shadows in crevices so that geometry feels grounded and real","Half-res depth SSAO buffer multiplies color before bloom by uAOAmt (occluded crevices darkened)",initPost ~1176,Documented,,,
U42,UI,Tilt-shift DOF,"As a player, I want edges softly blurred so that the table reads like a miniature","Shader uDof/uFocus blurs by screen band + radius (depth-of-field/halation)",initPost ~1166,Documented,,,
U43,UI,Footage FX overlays,"As a player, I want real bokeh/dust/film plates so that moods get authentic compositing","setFxOverlay screen-blends per-mood mp4 (bokeh/dust/film/VHS) via #fxOverlay; only some moods get a plate",setFxOverlay ~740,Documented,,,
U44,UI,Ball-tracking spotlight,"As a player, I want a theatrical spotlight following the ball so that the action feels dramatic","R3.spot sways + pulses, tracks ball position per frame; intensity/color/cone per mood (off for flat looks)",renderGL ~1287,Documented,,,
U45,UI,Real colored orbiting lights,"As a player, I want neon looks from actual lights so that surfaces glow rather than a flat filter","R3.prism point lights orbit the table at varied heights + pulse, additively lighting geometry",renderGL ~1289,Documented,,,
